GrossProfit,IncomeAfterTaxes,Revenue,ticker,qend,avail_date
22218011000.0,,44631942000.0,2412.TW,2006-03-31,2006-05-15
22775173000.0,,45962399000.0,2412.TW,2006-06-30,2006-08-14
23718681000.0,,46900082000.0,2412.TW,2006-09-30,2006-11-14
21406564000.0,,46892555000.0,2412.TW,2006-12-31,2007-03-31
22361497000.0,,45317935000.0,2412.TW,2007-03-31,2007-05-15
23892436000.0,,47007901000.0,2412.TW,2007-06-30,2007-08-14
24441579000.0,,47614259000.0,2412.TW,2007-09-30,2007-11-14
21317339000.0,,46388860000.0,2412.TW,2007-12-31,2008-03-31
23494292000.0,,46726020000.0,2412.TW,2008-03-31,2008-05-15
23778935000.0,,46641427000.0,2412.TW,2008-06-30,2008-08-14
22801296000.0,,46690038000.0,2412.TW,2008-09-30,2008-11-14
20916401000.0,,46723165000.0,2412.TW,2008-12-31,2009-03-31
21446950000.0,,45208245000.0,2412.TW,2009-03-31,2009-05-15
22149634000.0,,45093173000.0,2412.TW,2009-06-30,2009-08-14
21904563000.0,,46295041000.0,2412.TW,2009-09-30,2009-11-14
21309848000.0,,47443813000.0,2412.TW,2009-12-31,2010-03-31
21886422000.0,,45517837000.0,2412.TW,2010-03-31,2010-05-15
22386536000.0,,46254818000.0,2412.TW,2010-06-30,2010-08-14
22186304000.0,,46829871000.0,2412.TW,2010-09-30,2010-11-14
21276110000.0,,47808417000.0,2412.TW,2010-12-31,2011-03-31
21653006000.0,,47584160000.0,2412.TW,2011-03-31,2011-05-15
22008911000.0,,47944960000.0,2412.TW,2011-06-30,2011-08-14
21569616000.0,,49041119000.0,2412.TW,2011-09-30,2011-11-14
20343179000.0,,47891865000.0,2412.TW,2011-12-31,2012-03-31
19203597000.0,,47744257000.0,2412.TW,2012-03-31,2012-05-15
21084966000.0,,46614574000.0,2412.TW,2012-06-30,2012-08-14
21137990000.0,,47237797000.0,2412.TW,2012-09-30,2012-11-14
20230271000.0,,49354167000.0,2412.TW,2012-12-31,2013-03-31
19166312000.0,9614100000.0,56616993000.0,2412.TW,2013-03-31,2013-05-15
20558893000.0,10886529000.0,55837956000.0,2412.TW,2013-06-30,2013-08-14
20933825000.0,10892987000.0,56723304000.0,2412.TW,2013-09-30,2013-11-14
20033082000.0,9446011000.0,58803054000.0,2412.TW,2013-12-31,2014-03-31
20049745000.0,10385669000.0,55049912000.0,2412.TW,2014-03-31,2014-05-15
20747862000.0,10696369000.0,55784235000.0,2412.TW,2014-06-30,2014-08-14
19682498000.0,9796123000.0,56140678000.0,2412.TW,2014-09-30,2014-11-14
17749021000.0,8287517000.0,59633861000.0,2412.TW,2014-12-31,2015-03-31
19776926000.0,10567793000.0,56472807000.0,2412.TW,2015-03-31,2015-05-15
21209689000.0,11362612000.0,56920593000.0,2412.TW,2015-06-30,2015-08-14
22282792000.0,11967689000.0,56177648000.0,2412.TW,2015-09-30,2015-11-14
20399484000.0,9766251000.0,62224056000.0,2412.TW,2015-12-31,2016-03-31
