Date,SPY,EFA,AGG
2013-02-26,3531.24166861712,1139.809057492006,2282.730640554684
2013-02-27,3580.554685863841,1155.8248788277851,2286.4281430163537
2013-02-28,3563.8531892396713,1151.522826729888,2282.3250660345366
2013-03-01,3580.4373920913786,1150.7019924483611,2286.215158610372
2013-03-04,3595.8602334233,1154.483920663246,2282.251249589259
2013-03-05,3636.6516798488447,1168.715906182013,2285.7839199872687
2013-03-06,3636.693962588208,1170.1117462295806,2280.2255142634967
2013-03-07,3639.59728930227,1172.2907649023691,2273.1704909639666
2013-03-08,3658.8192615100415,1176.0533368359902,2268.8613134477055
2013-03-11,3675.1863035720016,1180.4142279360676,2271.632125154254
2013-03-12,3669.4137608741876,1175.2606007683498,2277.3012349635246
2013-03-13,3673.36318319758,1173.0804122953487,2274.6734457905404
2013-03-14,3694.162794331787,1184.9782919083082,2277.922134628112
2013-03-15,3693.013950910594,1188.5581785534741,2282.2956002937863
2013-03-18,3671.3992932252004,1175.0600960268494,2283.596785651229
2013-03-19,3571.6044818155933,1142.2992052209156,2229.9292092892574
2013-03-20,3619.903623122431,1156.7262175014548,2241.9676481793867
2013-03-21,3563.3678346181114,1138.0295535481491,2226.3741214382026
2013-03-22,3609.3717318635026,1153.4449118297925,2237.95372612316
2013-03-25,3584.4041595458984,1135.9321594238281,2230.989921569824
2013-03-26,3657.9401926203864,1157.2924346419168,2261.3438842903124
2013-03-27,3619.317356804473,1139.443622037099,2242.1261580035207
2013-03-28,3637.938109113835,1147.2433311298373,2246.757161518326
2013-04-01,3619.8090450685413,1130.7101877683453,2246.471926174054
2013-04-02,3737.7432415763906,1174.1954932962472,2305.7683550381626
2013-04-03,3696.132252816591,1167.2322132504487,2305.9555718427437
2013-04-04,3706.158113686979,1176.0258803058605,2309.3213351992745
2013-04-05,3577.1325803908403,1134.9903901988,2245.443230764242
2013-04-08,3725.695483930511,1178.7776926330553,2319.0083108677645
2013-04-09,3741.0765378598007,1183.7642174960565,2321.3975071401073
2013-04-10,3794.4930522609793,1203.7672472447157,2321.2340356020723
2013-04-11,3803.121118532057,1211.9684867602482,2319.3301887054986
2013-04-12,3791.2684777591494,1208.1591072437004,2325.3102065098938
2013-04-15,3598.728682836052,1150.8829246566165,2260.599759072298
2013-04-16,3660.1441583395354,1169.856457278329,2265.729712018365
2013-04-17,3580.682553565566,1137.2563305724543,2249.4072018498264
2013-04-18,3609.9293609338347,1150.2297452861094,2281.640212226892
2013-04-19,3612.788851146499,1150.3674958878328,2263.9706801669963
2013-04-22,3626.329154936713,1154.4403230486205,2265.2627286177594
2013-04-23,3649.869659423828,1166.3553657531738,2255.689437866211
2013-04-24,3652.184181213379,1176.431755065918,2255.2845458984375
2013-04-25,3668.252247035489,1183.040832316692,2255.0476770935347
2013-04-26,3663.0342365529505,1184.4181787783164,2260.4891479007783
2013-04-29,3660.3794790478423,1190.6976218282944,2245.2284793229774
2013-04-30,3654.33650395296,1187.4364215636888,2235.786578331288
